"modelname","period","model","rmse","mape","auc","proj","type"
"gpr","valid","GPR",0.208626147436295,0.236658592906968,0.492753623188406,-8,"nowcast"
"gpr","valid","GPR",0.213506916940876,0.244735943530516,0.492753623188406,-7,"nowcast"
"gpr","valid","GPR",0.215852035435972,0.249831345674399,0.5,-6,"nowcast"
"gpr","valid","GPR",0.21762716387408,0.252926185013705,0.5,-5,"nowcast"
"gpr","valid","GPR",0.215152686583852,0.249101015551245,0.5,-4,"nowcast"
"gpr","valid","GPR",0.213492276769335,0.248121414688187,0.5,-3,"nowcast"
"gpr","valid","GPR",0.211609132579624,0.247050051635484,0.5,-2,"nowcast"
"gpr","valid","GPR",0.209253261012521,0.244675102292564,0.5,-1,"nowcast"
"gpr","valid","GPR",0.20751926098388,0.241745104627396,0.5,0,"nowcast"
"gpr","valid","GPR",0.20610089516059,0.243089517084328,0.5,1,"forecast"
"gpr","valid","GPR",0.203184290781529,0.238076531294499,0.5,2,"forecast"
"gpr","valid","GPR",0.203629261960092,0.237658127941999,0.5,3,"forecast"
"gpr","valid","GPR",0.20473036435426,0.238218983291505,0.5,4,"forecast"
"gpr","valid","GPR",0.207679703717114,0.245125680891284,0.5,5,"forecast"
"gpr","valid","GPR",0.211232606767965,0.254966267135943,0.5,6,"forecast"
"gpr","valid","GPR",0.214120020271042,0.26300022301935,0.5,7,"forecast"
"nn","test","NN",0.0549390043540156,0.0402396533384166,0.881460003411223,-13,"nowcast"
"nn","test","NN",0.058668046159983,0.0426150045056531,0.881460003411223,-12,"nowcast"
"nn","test","NN",0.0605462708737846,0.0442515798379193,0.872761384956507,-11,"nowcast"
"nn","test","NN",0.0621364358669381,0.0455607333789273,0.860566263005287,-10,"nowcast"
"nn","test","NN",0.0638730475369533,0.047003932753343,0.860566263005287,-9,"nowcast"
"nn","test","NN",0.0651749301496278,0.0482783256983482,0.857069759508784,-8,"nowcast"
"nn","test","NN",0.0670099673490597,0.0502604565894839,0.857069759508784,-7,"nowcast"
"nn","test","NN",0.0683121543925501,0.0515920131938806,0.857069759508784,-6,"nowcast"
"nn","test","NN",0.0698550915017726,0.0530073916599746,0.857069759508784,-5,"nowcast"
"nn","test","NN",0.0719531423082798,0.0548957814646114,0.844874637557564,-4,"nowcast"
"nn","test","NN",0.0746524352106278,0.0571052847705034,0.824111334674715,-3,"nowcast"
"nn","test","NN",0.0772379754654722,0.0591478226119545,0.815932706580901,-2,"nowcast"
"nn","test","NN",0.0808921434624979,0.0612009120521343,0.811688311688312,-1,"nowcast"
"nn","test","NN",0.0848060022553027,0.0637398268727979,0.789528377298162,0,"nowcast"
"nn","test","NN",0.0888581030224445,0.0691447358532257,0.77463768115942,1,"forecast"
"nn","test","NN",0.0922428862006435,0.0728918269685768,0.759691808596918,2,"forecast"
"nn","test","NN",0.0954322501795958,0.0763629180599058,0.74468954248366,3,"forecast"
"nn","test","NN",0.0990749056862203,0.0799432536008946,0.72962962962963,4,"forecast"
"nn","test","NN",0.102854001768109,0.0836358001067244,0.714510779436152,5,"forecast"
"nn","test","NN",0.106922363844786,0.0873533925517284,0.699331662489557,6,"forecast"
"nn","test","NN",0.110815428225362,0.0911340024561536,0.684090909090909,7,"forecast"
"nn","train","NN",0.173284104697315,0.124464079328047,0.963768115942029,0,"nowcast"
"nn","train","NN",0.175405733942665,0.124315512446781,0.971014492753623,1,"forecast"
"nn","train","NN",0.19085415963204,0.134694339638742,0.954334153677878,2,"forecast"
"nn","train","NN",0.205446200374179,0.144271831512692,0.937653814602133,3,"forecast"
"nn","train","NN",0.221603329375917,0.161805816935341,0.920973475526388,4,"forecast"
"nn","train","NN",0.235621776216074,0.176014536257358,0.904293136450643,5,"forecast"
"nn","train","NN",0.24867186549465,0.190525639879442,0.894880174291939,6,"forecast"
"nn","train","NN",0.261378364396199,0.205705174624604,0.885753052917232,7,"forecast"
"nn","valid","NN",0.177646938097535,0.195623386946885,0.559006211180124,-13,"nowcast"
"nn","valid","NN",0.189426075119408,0.209779242149659,0.559006211180124,-12,"nowcast"
"nn","valid","NN",0.199803759713467,0.223583270689228,0.55175983436853,-11,"nowcast"
"nn","valid","NN",0.207290831733014,0.234158679664927,0.55175983436853,-10,"nowcast"
"nn","valid","NN",0.212648076029531,0.242050151997671,0.55175983436853,-9,"nowcast"
"nn","valid","NN",0.21690320218215,0.248786124957406,0.55175983436853,-8,"nowcast"
"nn","valid","NN",0.219598356922755,0.254525756456729,0.527950310559006,-7,"nowcast"
"nn","valid","NN",0.220063276812703,0.257118966562005,0.473084886128364,-6,"nowcast"
"nn","valid","NN",0.219918940094091,0.258971627854331,0.504140786749482,-5,"nowcast"
"nn","valid","NN",0.217967670303699,0.256335653287065,0.473084886128364,-4,"nowcast"
"nn","valid","NN",0.215560853460274,0.254201376853893,0.504140786749482,-3,"nowcast"
"nn","valid","NN",0.212307182428426,0.250014690328608,0.549689440993789,-2,"nowcast"
"nn","valid","NN",0.209334306854955,0.245224662505612,0.573498964803313,-1,"nowcast"
"nn","valid","NN",0.206859806754324,0.242217904737146,0.604554865424431,0,"nowcast"
"nn","valid","NN",0.215297235629594,0.252677618378524,0.511387163561077,1,"forecast"
"nn","valid","NN",0.217157623338525,0.252700885040809,0.480331262939959,2,"forecast"
"nn","valid","NN",0.221440045872466,0.257115465907725,0.449275362318841,3,"forecast"
"nn","valid","NN",0.224456525110516,0.260664911212164,0.449275362318841,4,"forecast"
"nn","valid","NN",0.228561848371036,0.268498247920539,0.45,5,"forecast"
"nn","valid","NN",0.232697017077784,0.277498335275676,0.450704225352113,6,"forecast"
"nn","valid","NN",0.236746046138555,0.285754362965819,0.451388888888889,7,"forecast"
"rf","test","RF",0.0642898200106815,0.0459907880922863,0.884871226334641,-13,"nowcast"
"rf","test","RF",0.0687508326950583,0.0504751430730708,0.877878219341634,-12,"nowcast"
"rf","test","RF",0.0735718682219996,0.0544042049832287,0.855193586900904,-11,"nowcast"
"rf","test","RF",0.0775106662956421,0.0578670866899262,0.8516970834044,-10,"nowcast"
"rf","test","RF",0.080219846790499,0.0597481581801729,0.855193586900904,-9,"nowcast"
"rf","test","RF",0.0824045143784113,0.061321595983094,0.855193586900904,-8,"nowcast"
